Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2022,"Albert Pujols","STL",10,33,30,8,5,1,0,2,5,4,2,0,6,1,0,0,1,0,1,0.266666666,1177
2022,"Miguel Cabrera","DET",18,69,62,16,14,2,0,0,6,5,5,1,19,1,1,0,2,0,0,0.258064516,1744
2022,"David Peralta","ARI",21,77,68,14,7,5,0,2,4,6,7,1,16,0,2,0,0,0,1,0.205882352,2136
2022,"Carlos Santana","KCR",17,69,55,7,5,1,0,1,6,5,14,1,7,0,0,0,0,0,0,0.127272727,2396
2022,"Nelson Cruz","WSN",22,96,84,13,11,0,0,2,10,11,11,1,17,0,0,0,2,0,0,0.154761904,2434
2022,"Manny Pina","ATL",5,17,14,2,2,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0.142857142,2829
2022,"Roberto Perez","PIT",16,57,49,10,7,2,0,1,6,6,8,0,20,0,0,0,1,0,0,0.204081632,2900
2022,"Tommy Pham","CIN",19,77,68,15,8,4,0,3,10,6,9,0,18,0,0,0,4,1,0,0.220588235,2967
2022,"Robinson Chirinos","BAL",16,50,42,7,5,2,0,0,2,3,7,0,14,1,0,0,1,0,0,0.166666666,3142
2022,"Robinson Cano","NYM",12,43,41,8,7,0,0,1,3,3,2,0,11,0,0,0,0,0,0,0.195121951,3269
2022,"Charlie Culberson","TEX",9,22,20,4,3,1,0,0,4,5,2,0,6,0,0,0,0,1,1,0.2,3298
2022,"Anthony Rizzo","NYY",21,92,77,21,8,4,0,9,14,21,11,2,13,4,0,0,0,2,1,0.272727272,3473
2022,"Eric Hosmer","SDP",20,81,72,28,19,6,0,3,10,14,9,1,12,0,0,0,2,0,0,0.388888888,3516
2022,"Michael Brantley","HOU",17,76,69,20,15,3,0,2,8,7,6,1,11,0,0,1,0,0,1,0.289855072,4106
2022,"Joey Votto","CIN",21,86,70,9,8,1,0,0,4,3,12,0,27,4,0,0,1,0,0,0.128571428,4314
2022,"Jed Lowrie","OAK",9,29,25,5,4,0,0,1,5,4,4,0,5,0,0,0,0,1,0,0.2,4418
2022,"Mike Moustakas","CIN",12,43,40,8,8,0,0,0,4,2,2,0,14,0,1,0,0,0,0,0.2,4892
2022,"Jason Heyward","CHC",14,43,37,10,8,1,1,0,6,2,5,0,12,1,0,0,2,0,0,0.27027027,4940
2022,"Giancarlo Stanton","NYY",20,83,78,21,16,1,0,4,5,14,3,0,27,0,2,0,0,0,0,0.269230769,4949
2022,"Stephen Vogt","OAK",6,15,14,1,0,0,0,1,3,1,1,0,6,0,0,0,0,0,0,0.071428571,5000
2022,"Josh Donaldson","NYY",20,82,69,14,7,5,0,2,8,5,12,0,23,1,0,0,3,0,1,0.20289855,5038
2022,"Justin Turner","LAD",19,78,71,14,10,3,0,1,8,10,5,0,15,0,2,0,3,0,0,0.197183098,5235
2022,"Robbie Grossman","DET",17,71,59,17,15,2,0,0,7,5,10,0,22,1,1,0,1,0,0,0.288135593,5254
2022,"Aaron Hicks","NYY",15,62,49,15,14,0,0,1,8,4,10,1,9,1,1,1,2,2,1,0.306122448,5297
2022,"Brandon Crawford","SFG",20,82,72,17,12,4,0,1,11,9,7,1,15,3,0,0,4,1,0,0.236111111,5343
2022,"Freddie Freeman","LAD",20,89,77,23,16,4,0,3,14,9,10,0,13,1,1,0,2,2,0,0.298701298,5361
2022,"Jose Altuve","HOU",9,41,36,6,5,0,0,1,2,3,5,0,10,0,0,0,3,2,0,0.166666666,5417
2022,"Ji Man Choi","TBR",15,53,42,15,9,4,0,2,7,10,11,1,17,0,0,0,0,0,0,0.357142857,5452
2022,"Marwin Gonzalez","NYY",7,11,9,2,1,1,0,0,3,2,1,0,4,0,1,0,0,0,0,0.222222222,5497
2022,"Kyle Higashioka","NYY",13,48,42,6,4,2,0,0,5,4,3,0,12,1,1,1,1,0,0,0.142857142,5517
2022,"Avisail Garcia","MIA",17,69,67,13,9,3,0,1,4,4,1,0,21,1,0,0,3,2,0,0.19402985,5760
2022,"Wilmer Flores","SFG",19,80,71,20,13,5,0,2,11,12,7,0,12,1,1,0,2,0,0,0.28169014,5827
2022,"Leury Garcia","CHW",15,49,47,5,3,1,0,1,4,1,2,0,12,0,0,0,0,0,0,0.106382978,5913
2022,"Jean Segura","PHI",17,71,66,15,11,2,0,2,7,5,4,0,8,1,0,0,1,1,0,0.227272727,5933
2022,"Didi Gregorius","PHI",16,57,51,14,10,4,0,0,7,6,3,0,8,2,1,0,0,0,0,0.274509803,6012
2022,"Eduardo Escobar","NYM",21,90,75,19,9,8,1,1,10,5,15,0,21,0,0,0,1,0,0,0.253333333,6153
2022,"J.D. Martinez","BOS",15,61,54,15,6,8,0,1,7,8,5,0,16,1,1,0,3,0,0,0.277777777,6184
2022,"Alcides Escobar","WSN",18,71,65,12,10,2,0,0,7,4,4,0,18,2,0,0,1,1,1,0.184615384,6310
2022,"Martin Maldonado","HOU",14,52,42,4,2,1,0,1,7,4,8,0,16,0,1,1,1,0,0,0.095238095,6887
2022,"Yadier Molina","STL",13,48,48,10,9,1,0,0,2,0,0,0,5,0,0,0,1,1,0,0.208333333,7007
2022,"Matt Davidson","ARI",4,13,10,1,0,0,0,1,1,1,3,0,3,0,0,0,0,0,0,0.1,7226
2022,"Salvador Perez","KCR",19,78,73,15,6,4,0,5,9,9,3,0,23,2,0,0,1,0,0,0.205479452,7304
2022,"Travis d'Arnaud","ATL",15,61,59,18,13,3,0,2,10,8,0,0,12,2,0,0,1,0,0,0.305084745,7739
2022,"Miguel Rojas","MIA",16,60,57,10,7,1,1,1,6,4,2,1,6,1,0,0,1,0,0,0.175438596,7802
2022,"Charlie Blackmon","COL",19,83,74,19,10,5,0,4,14,11,7,0,16,0,0,2,0,1,1,0.256756756,7859
2022,"Josh Harrison","CHW",12,40,37,5,2,2,1,0,5,1,1,0,8,2,0,0,2,0,0,0.135135135,8202
2022,"Dee Strange-Gordon","WSN",2,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,8203
2022,"Kurt Suzuki","LAA",9,36,32,6,4,1,0,1,5,4,4,0,7,0,0,0,2,0,0,0.1875,8259
2022,"Elvis Andrus","OAK",20,77,68,14,8,5,0,1,10,3,8,0,14,1,0,0,3,1,0,0.205882352,8709
2022,"Jason Castro","HOU",9,27,22,1,1,0,0,0,0,0,4,0,12,1,0,0,0,0,0,0.045454545,8722
2022,"Lorenzo Cain","MIL",15,54,49,8,6,2,0,0,7,3,4,0,9,0,1,0,2,1,2,0.163265306,9077
2022,"Paul Goldschmidt","STL",20,88,78,22,17,4,0,1,11,10,9,0,16,0,0,0,1,2,0,0.282051282,9218
2022,"Starling Marte","NYM",20,93,85,19,15,2,0,2,12,15,4,0,14,4,0,0,3,4,3,0.223529411,9241
2022,"AJ Pollock","CHW",7,28,26,6,4,2,0,0,1,2,1,0,9,0,1,0,1,0,0,0.23076923,9256
2022,"Dustin Garneau","DET",5,11,10,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0.3,9433
2022,"Yan Gomes","CHC",9,28,26,6,3,2,0,1,3,2,2,0,6,0,0,0,1,0,0,0.23076923,9627
2022,"Christian Vazquez","BOS",14,50,46,10,9,0,0,1,4,4,1,0,12,1,2,0,0,0,0,0.217391304,9774
2022,"Nolan Arenado","STL",19,81,72,27,15,7,0,5,11,17,9,1,14,0,0,0,0,0,0,0.375,9777
2022,"Andrew McCutchen","MIL",21,91,82,19,13,4,0,2,8,10,6,0,22,1,2,0,2,3,2,0.231707317,9847
2022,"DJ LeMahieu","NYY",20,81,73,21,14,5,0,2,13,7,6,0,11,2,0,0,2,0,1,0.287671232,9874
2022,"Darin Ruf","SFG",21,91,79,14,12,2,0,0,7,3,11,0,23,1,0,0,1,1,0,0.177215189,9929
2022,"Trayce Thompson","SDP",2,6,5,1,1,0,0,0,1,2,1,0,2,0,0,0,0,0,1,0.2,9952
2022,"Christian Bethancourt","OAK",12,38,37,7,4,3,0,0,3,1,1,0,9,0,0,0,1,1,0,0.189189189,10028
2022,"Chris Owings","BAL",9,21,18,2,2,0,0,0,2,0,3,0,12,0,0,0,0,0,0,0.111111111,10030
2022,"Wil Myers","SDP",15,59,55,12,9,3,0,0,4,7,3,0,19,0,1,0,1,0,0,0.218181818,10047
2022,"Max Stassi","LAA",13,50,44,10,7,1,0,2,7,6,6,0,15,0,0,0,1,0,0,0.227272727,10059
2022,"Jonathan Villar","CHC",15,59,53,15,13,2,0,0,8,8,4,0,14,0,2,0,1,1,0,0.283018867,10071
2022,"Mike Trout","LAA",18,76,62,20,8,6,1,5,14,10,12,0,13,2,0,0,1,0,0,0.322580645,10155
2022,"Tucker Barnhart","DET",14,42,37,11,9,2,0,0,3,1,5,0,16,0,0,0,1,0,0,0.297297297,10200
2022,"Jose Iglesias","COL",17,63,59,19,15,4,0,0,6,4,2,0,6,2,0,0,2,0,0,0.322033898,10231
2022,"Randal Grichuk","COL",16,67,60,20,15,3,0,2,8,11,4,0,16,2,1,0,1,1,0,0.333333333,10243
2022,"Brandon Belt","SFG",17,79,66,16,10,1,1,4,10,9,11,0,21,2,0,0,3,0,0,0.242424242,10264
2022,"Rafael Ortega","CHC",19,57,49,10,6,4,0,0,6,1,7,0,11,0,0,1,0,0,3,0.204081632,10323
2022,"Marcell Ozuna","ATL",22,92,86,22,13,5,0,4,8,10,4,0,16,1,1,0,3,0,0,0.255813953,10324
2022,"Enrique Hernandez","BOS",21,94,83,16,7,8,0,1,12,11,9,0,21,0,2,0,3,0,1,0.192771084,10472
2022,"Cesar Hernandez","WSN",23,102,99,27,21,6,0,0,12,5,2,0,20,1,0,0,2,1,0,0.272727272,10556
2022,"Gio Urshela","MIN",18,69,61,17,16,0,0,1,8,5,7,0,8,0,1,0,5,0,0,0.278688524,10681
2022,"Corey Dickerson","STL",12,42,38,7,7,0,0,0,2,7,3,0,4,0,1,0,0,0,0,0.184210526,10762
2022,"Jurickson Profar","SDP",20,85,70,13,4,4,0,5,12,15,13,0,15,1,1,0,2,1,0,0.185714285,10815
2022,"Adam Duvall","ATL",21,84,76,15,9,5,0,1,7,10,6,0,29,1,1,0,0,0,0,0.197368421,10950
2022,"Kevin Kiermaier","TBR",17,55,50,10,6,2,0,2,6,7,4,0,16,1,0,0,0,0,0,0.2,11038
2022,"Kole Calhoun","TEX",19,57,55,9,8,1,0,0,1,1,1,0,13,1,0,0,0,0,1,0.163636363,11200
2022,"Jonathan Schoop","DET",20,80,76,11,8,2,0,1,5,5,3,0,14,1,0,0,1,0,0,0.144736842,11265
2022,"Whit Merrifield","KCR",19,84,78,11,8,3,0,0,4,4,5,0,11,0,1,0,3,3,0,0.141025641,11281
2022,"Jake Marisnick","PIT",15,42,40,6,5,1,0,0,3,1,1,0,11,0,0,1,1,0,1,0.15,11339
2022,"Jesus Aguilar","MIA",19,82,65,15,14,0,0,1,5,6,14,0,20,0,3,0,2,0,0,0.23076923,11342
2022,"Yasmani Grandal","CHW",17,66,59,10,7,2,0,1,2,6,6,0,13,0,1,0,1,0,0,0.169491525,11368
2022,"Gary Sanchez","MIN",12,48,45,9,4,4,0,1,3,8,2,0,16,1,0,0,1,1,0,0.2,11442
2022,"Mark Canha","NYM",16,63,55,19,18,1,0,0,4,6,6,0,13,2,0,0,0,0,0,0.345454545,11445
2022,"Odubel Herrera","PHI",7,20,18,7,1,3,1,2,4,6,1,0,6,0,1,0,0,0,0,0.388888888,11476
2022,"Christian Yelich","MIL",21,87,74,17,10,4,0,3,12,12,10,0,22,1,2,0,0,2,0,0.229729729,11477
2022,"Michael A. Taylor","KCR",17,60,49,9,8,0,0,1,7,5,10,0,11,0,1,0,1,0,0,0.183673469,11489
2022,"Manny Machado","SDP",22,95,83,32,21,7,0,4,20,15,10,1,16,1,1,0,2,4,0,0.385542168,11493
2022,"Bryce Harper","PHI",22,94,83,21,10,7,1,3,17,14,7,0,24,2,2,0,5,3,1,0.253012048,11579
2022,"Willson Contreras","CHC",18,79,68,17,9,6,0,2,13,7,9,0,16,2,0,0,5,0,0,0.25,11609
2022,"Brandon Drury","CIN",15,53,49,11,5,3,0,3,6,7,4,0,11,0,0,0,3,0,1,0.224489795,11615
2022,"Elias Diaz","COL",17,60,57,15,9,4,0,2,5,6,3,0,10,0,0,0,2,0,0,0.263157894,11680
2022,"Nick Castellanos","PHI",22,91,80,24,16,5,0,3,11,12,9,0,23,1,1,0,1,1,0,0.3,11737
2022,"J.T. Realmuto","PHI",20,82,75,20,15,4,0,1,14,3,7,0,22,0,0,0,0,3,0,0.266666666,11739
2022,"Joc Pederson","SFG",16,55,51,18,10,2,0,6,11,10,2,0,11,1,1,0,1,1,1,0.352941176,11899
2022,"Hanser Alberto","LAD",7,15,15,4,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0.266666666,11902
2022,"Travis Shaw","BOS",7,19,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11982
2022,"Jon Berti","MIA",9,30,21,7,4,2,1,0,7,2,8,0,8,1,0,0,0,1,1,0.333333333,12037
2022,"Niko Goodrum","HOU",8,28,27,3,2,1,0,0,1,0,1,0,13,0,0,0,0,0,0,0.111111111,12092
2022,"Max Kepler","MIN",21,78,66,17,10,2,0,5,8,11,10,0,12,2,0,0,3,1,0,0.257575757,12144
2022,"Nick Ahmed","ARI",6,19,19,7,3,2,0,2,3,3,0,0,3,0,0,0,0,0,0,0.368421052,12147
2022,"Eddie Rosario","ATL",15,49,44,3,2,1,0,0,4,0,5,0,10,0,0,0,0,0,0,0.068181818,12155
2022,"Austin Barnes","LAD",7,21,19,4,2,0,0,2,4,2,1,0,4,1,0,0,2,0,0,0.210526315,12158
2022,"Ben Gamel","PIT",21,66,58,13,10,2,0,1,8,7,8,0,13,0,0,0,0,2,0,0.224137931,12160
2022,"Xander Bogaerts","BOS",21,86,80,30,22,7,0,1,12,9,6,0,18,0,0,0,1,1,0,0.375,12161
2022,"Miguel Sano","MIN",17,65,54,5,4,0,0,1,1,3,9,0,21,1,1,0,0,1,0,0.092592592,12164
2022,"Maikel Franco","WSN",23,91,86,24,17,5,0,2,6,12,4,0,21,0,1,0,3,0,0,0.279069767,12179
2022,"Jorge Alfaro","SDP",11,40,35,8,5,2,0,1,3,4,2,0,20,1,2,0,0,1,0,0.228571428,12180
2022,"Rougned Odor","BAL",18,57,50,9,5,4,0,0,5,5,4,0,17,2,1,0,1,0,0,0.18,12282
2022,"Jace Peterson","MIL",16,47,41,7,6,0,0,1,6,3,6,0,9,0,0,0,1,2,0,0.170731707,12325
2022,"Jason Krizan","SFG",2,6,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12394
