Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",18,70,68,15,10,3,0,2,4,7,2,0,16,0,0,0,2,0,0,0.220588235,1744
2023,"David Peralta","LAD",25,78,71,18,12,6,0,0,13,12,4,0,11,0,3,0,3,2,0,0.253521126,2136
2023,"Carlos Santana","MIL",23,101,94,21,13,3,0,5,13,14,7,0,15,0,0,0,3,0,0,0.223404255,2396
2023,"Tommy Pham","ARI",24,103,95,23,13,6,1,3,11,17,6,0,26,1,1,0,4,6,1,0.242105263,2967
2023,"Anthony Rizzo","NYY",1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,3473
2023,"Michael Brantley","HOU",2,8,8,2,1,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0.25,4106
2023,"Joey Votto","CIN",18,65,58,11,6,1,0,4,7,7,6,0,19,1,0,0,1,0,0,0.189655172,4314
2023,"Mike Moustakas","LAA",24,92,89,19,11,5,0,3,7,14,1,0,20,0,2,0,1,0,0,0.213483146,4892
2023,"Jason Heyward","LAD",21,59,55,18,12,3,0,3,9,9,4,1,6,0,0,0,1,0,1,0.327272727,4940
2023,"Giancarlo Stanton","NYY",27,109,98,21,11,4,0,6,10,16,11,0,37,0,0,0,2,0,0,0.214285714,4949
2023,"Justin Turner","BOS",19,80,72,21,14,2,0,5,12,16,5,0,13,3,0,0,2,0,0,0.291666666,5235
2023,"Robbie Grossman","TEX",17,57,48,13,5,7,0,1,9,5,9,0,15,0,0,0,1,0,0,0.270833333,5254
2023,"Aaron Hicks","BAL",1,3,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666,5297
2023,"Brandon Crawford","SFG",11,39,36,4,2,0,1,1,4,5,2,0,14,0,1,0,0,0,0,0.111111111,5343
2023,"Freddie Freeman","LAD",29,129,115,43,23,16,0,4,22,16,10,2,15,3,1,0,1,4,0,0.373913043,5361
2023,"Jose Altuve","HOU",27,128,113,40,28,8,1,3,27,14,14,0,20,1,0,0,1,6,1,0.3539823,5417
2023,"Ji Man Choi","SDP",7,16,11,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,5452
2023,"Abraham Almonte","NYM",8,16,15,1,0,1,0,0,1,0,1,0,8,0,0,0,0,0,0,0.066666666,5486
2023,"Kyle Higashioka","NYY",17,52,48,10,5,1,0,4,6,7,4,0,14,0,0,0,3,0,0,0.208333333,5517
2023,"Avisail Garcia","MIA",14,38,35,5,3,2,0,0,1,3,3,1,16,0,0,0,0,1,0,0.142857142,5760
2023,"Wilmer Flores","SFG",23,93,84,23,14,4,0,5,12,14,6,0,8,3,0,0,4,0,0,0.273809523,5827
2023,"Eduardo Escobar","LAA",14,37,35,7,4,2,1,0,3,2,2,0,12,0,0,0,1,0,1,0.2,6153
2023,"J.D. Martinez","LAD",7,25,20,4,2,2,0,0,1,3,3,0,10,0,0,0,1,0,0,0.2,6184
2023,"Martin Maldonado","HOU",19,71,62,16,11,2,0,3,8,10,6,0,28,0,0,3,0,0,0,0.258064516,6887
2023,"Salvador Perez","KCR",25,103,94,23,18,3,0,2,10,13,5,3,22,2,2,0,1,0,0,0.244680851,7304
2023,"Travis d'Arnaud","ATL",15,59,56,11,7,4,0,0,6,8,3,0,12,0,0,0,2,0,0,0.196428571,7739
2023,"Miguel Rojas","LAD",23,81,72,17,10,4,0,3,9,12,6,0,10,1,2,0,4,1,1,0.236111111,7802
2023,"Charlie Blackmon","COL",15,65,53,20,15,1,2,2,13,6,9,0,5,3,0,0,0,0,0,0.37735849,7859
2023,"Matt Carpenter","SDP",5,14,9,3,3,0,0,0,1,2,5,0,1,0,0,0,0,0,0,0.333333333,8090
2023,"Donovan Solano","MIN",22,81,76,28,24,4,0,0,10,7,4,0,17,1,0,0,1,0,0,0.368421052,8623
2023,"Elvis Andrus","CHW",21,81,78,27,17,7,0,3,13,16,3,0,14,0,0,0,4,5,0,0.346153846,8709
2023,"Paul Goldschmidt","STL",27,120,104,28,19,5,0,4,12,13,14,1,31,1,0,0,1,1,0,0.269230769,9218
2023,"Starling Marte","NYM",2,8,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9241
2023,"AJ Pollock","SFG",2,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9256
2023,"Evan Longoria","ARI",6,17,15,3,3,0,0,0,0,1,1,0,5,0,1,0,0,0,0,0.2,9368
2023,"Yan Gomes","CHC",19,72,66,14,9,5,0,0,5,5,4,0,19,1,1,0,3,0,0,0.212121212,9627
2023,"Christian Vazquez","MIN",15,54,54,11,8,2,0,1,6,2,0,0,10,0,0,0,1,0,0,0.203703703,9774
2023,"Nolan Arenado","STL",25,105,99,25,17,4,0,4,13,10,5,1,13,1,0,0,6,0,0,0.252525252,9777
2023,"Andrew McCutchen","PIT",23,99,85,18,11,5,0,2,7,12,13,0,23,1,0,0,3,0,0,0.211764705,9847
