Season,Month,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2021,"Aug","Matt Moore","PHI",17.2,81,8.15094339,6.62264151,1.23076923,1.52830189,0.19753086,0.16049383,0.03703704,0.242424242,1.64150943,0.26530612,0.72580645,5.773807706881424,5.563651623814081,1890
2021,"Aug","Jose Alvarez","SFG",1.2,11,0,10.79999998,0,0,0,0.18181818,-0.18181818,0.444444444,3.59999999,0.44444444,0.66666667,6.770034115267041,6.770034115267041,5358
2021,"Aug","Zack Greinke","HOU",29,118,4.03448276,1.24137931,3.25,0.93103448,0.11016949,0.03389831,0.07627119,0.252252252,1.10344828,0.25510204,0.71942446,4.032103087984282,4.451637628366207,1943
2021,"Aug","Brad Peacock","BOS",2.1,12,0,7.71428573,0,3.85714286,0,0.16666667,-0.16666667,0.222222222,1.71428572,0.125,0,12.598605564507857,12.320263372448117,5401
2021,"Aug","Adam Wainwright","STL",44,164,7.36363636,1.22727273,6,0.20454545,0.2195122,0.03658537,0.18292683,0.184713375,0.79545455,0.23333333,0.83815029,2.3063977588306774,3.534710504521023,2233
2021,"Aug","Chris Archer","TBR",6,25,15,3,5,1.5,0.4,0.08,0.32,0.217391304,1.16666667,0.33333333,0.89285714,3.003367455800375,2.895123270154,6345
2021,"Aug","Corey Kluber","NYY",4,19,13.5,4.5,3,2.25,0.31578947,0.10526316,0.21052632,0.294117647,1.75,0.4,0.35714286,4.920034122467041,3.875486780703068,2429
2021,"Aug","Martin Perez","BOS",1.1,10,13.50000003,0,2,6.75000002,0.2,0,0.2,0.625,3.75000001,0.66666667,0.65217391,12.17003414496704,7.713120513591221,6902
2021,"Aug","Lance Lynn","CHW",27,115,10,3,3.33333333,2,0.26086957,0.07826087,0.1826087,0.219047619,1.18518519,0.24285714,0.76271186,4.836700789133708,3.9735610085505026,2520
2021,"Aug","Craig Stammen","SDP",6,28,6,3,2,0,0.14285714,0.07142857,0.07142857,0.384615384,2,0.45454545,0.66666667,2.836700789133708,3.424821497996649,7274
