Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024,"Jun","Lance Lynn","STL",6,131,3.85714286,29,3,1,18,13,3,8,0,0,31,0.239669421,0.284615384,0.3553719,0.28009816224758444,2520
2024,"Jun","Tommy Henry","ARI",1,19,14.72727271,6,2,0,6,6,2,2,0,1,2,0.4,0.47368421,0.933333333,0.5510520715462534,26285
2024,"Jun","Max Scherzer","TEX",2,38,1.74193548,5,1,0,2,2,1,2,0,0,8,0.138888888,0.184210526,0.25,0.19282765294376172,3137
2024,"Jun","Charlie Morton","ATL",5,118,3.10344828,19,8,0,11,10,1,13,0,5,28,0.193877551,0.316239316,0.306122448,0.2859995456842276,4676
2024,"Jun","Albert Suarez","BAL",5,115,3.6,28,6,1,10,10,1,12,1,1,16,0.285714285,0.359649122,0.397959183,0.32832778871586893,6175
2024,"Jun","Carlos Carrasco","CLE",5,104,5.47297297,27,7,0,15,15,3,5,0,2,20,0.284210526,0.330097087,0.452631578,0.3379133592531519,6632
2024,"Jun","Martin Perez","PIT",1,21,13.5,8,3,0,6,6,1,2,0,0,4,0.421052631,0.476190476,0.736842105,0.5103835151309059,6902
2024,"Jun","Justin Verlander","HOU",2,47,7.2,14,2,0,8,8,3,2,0,2,7,0.341463414,0.382978723,0.609756097,0.41301632815218986,8700
2024,"Jun","Nathan Eovaldi","TEX",5,118,4.39534884,25,2,0,14,14,6,7,0,1,28,0.227272727,0.279661016,0.409090909,0.2994893895367445,9132
2024,"Jun","Patrick Corbin","WSN",5,116,4.70930233,27,4,2,15,15,5,7,0,2,24,0.257142857,0.310344827,0.476190476,0.33463212488026456,9323
2024,"Jun","Dallas Keuchel","MIL",1,21,11.25,8,1,0,5,5,2,1,0,0,4,0.4,0.428571428,0.75,0.4976834569658552,9434
2024,"Jun","Miles Mikolas","STL",5,119,4.85393258,28,8,2,17,16,3,4,0,1,18,0.24778761,0.277310924,0.433628318,0.30308062188765583,9803
2024,"Jun","Kyle Gibson","STL",4,96,3.97058823,19,2,0,10,10,2,11,0,0,25,0.226190476,0.315789473,0.321428571,0.28857066380350216,10123
2024,"Jun","Zack Wheeler","PHI",5,127,3.65625,26,1,0,13,13,5,8,0,3,27,0.226086956,0.291338582,0.365217391,0.2898451779771039,10310
2024,"Jun","Chris Sale","ATL",5,118,4.2,24,7,2,14,14,3,8,0,1,40,0.222222222,0.282051282,0.407407407,0.2984917831217122,10603
2024,"Jun","Jose Quintana","NYM",5,106,3.375,22,5,0,10,9,4,11,0,4,26,0.241758241,0.349056603,0.428571428,0.34334075788282,11423
2024,"Jun","Jose Urena","TEX",1,22,1.35,1,0,0,1,1,1,1,0,0,6,0.047619047,0.09090909,0.19047619,0.12448826432228088,11589
2024,"Jun","Jameson Taillon","CHC",5,125,3.3,31,3,0,12,11,4,5,0,0,29,0.262711864,0.292682926,0.389830508,0.2973048246003748,11674
2024,"Jun","James Paxton","LAD",5,106,6.46478873,25,7,0,18,17,2,10,0,0,22,0.27173913,0.333333333,0.413043478,0.3226573694319952,11828
2024,"Jun","Taijuan Walker","PHI",4,86,5.75409836,18,3,0,13,13,6,9,0,0,18,0.24,0.313953488,0.52,0.35114625442859737,11836
2024,"Jun","Kyle Hendricks","CHC",3,65,5.51020408,14,1,0,10,10,2,3,0,0,15,0.229508196,0.261538461,0.344262295,0.2633827429551345,12049
2024,"Jun","Scott McGough","ARI",2,12,6,2,1,0,2,2,1,1,0,0,3,0.181818181,0.25,0.545454545,0.33276566366354626,12056
2024,"Jun","Aaron Brooks","OAK",1,21,14.53846155,7,2,0,7,7,1,1,0,0,1,0.35,0.38095238,0.6,0.41783223549524945,12272
2024,"Jun","Chris Bassitt","TOR",6,157,1.94594595,35,5,0,9,8,1,12,1,4,35,0.25,0.326923076,0.307142857,0.28614618316773444,12304
2024,"Jun","Colin Rea","MIL",4,91,3.8028169,16,3,1,11,10,5,5,0,3,18,0.195121951,0.263736263,0.43902439,0.3008736981140388,12317
2024,"Jun","Seth Lugo","KCR",6,152,3.10619469,32,5,0,13,13,3,9,0,4,39,0.233576642,0.3,0.335766423,0.28443377057711283,12447
2024,"Jun","Sonny Gray","STL",6,141,3.53271028,24,9,2,17,14,1,11,0,1,42,0.186046511,0.255319148,0.310077519,0.25106809156160825,12768
