"last_name, first_name","player_id","year","player_age","pa","hit","double","home_run","strikeout","walk","k_percent","bb_percent","b_rbi","r_total_stolen_base","r_run","xba","xslg","woba","xwoba","avg_swing_speed","barrel_batted_rate","whiff_percent"
"Anderson, Brian",605119,2023,30,361,72,12,9,108,36,29.9,10,"40","1","38",".225",".388",".299",".314","72.4",10.3,33.3
"Hernández, Enrique",571771,2023,31,508,110,23,11,97,34,19.1,6.7,"61","4","57",".222",".338",".282",".273","72.3",4.5,23.6
"Tauchman, Mike",643565,2023,32,401,85,18,8,86,56,21.4,14,"48","7","64",".261",".401",".330",".343","68.4",5.5,24.5
"Frazier, Adam",624428,2023,31,455,99,21,13,68,32,14.9,7,"60","11","59",".259",".363",".302",".301","67",3.1,19.2
"Renfroe, Hunter",592669,2023,31,548,116,31,20,125,44,22.8,8,"60","0","60",".221",".369",".308",".289","74.7",6.1,26.4
"Greene, Riley",682985,2023,22,416,109,19,11,114,35,27.4,8.4,"37","7","51",".286",".507",".344",".367","75.5",11.3,28.2
"Montero, Elehuris",660707,2023,24,307,69,15,11,111,15,36.2,4.9,"39","0","40",".196",".319",".306",".254","75.3",6.8,39.3
"Buxton, Byron",621439,2023,29,347,63,17,17,109,35,31.4,10.1,"42","9","49",".207",".431",".311",".316","76.2",14.6,30.6
"Acuña Jr., Ronald",660670,2023,25,735,217,35,41,84,80,11.4,10.9,"106","73","149",".351",".668",".428",".461","77.3",15.3,18.7
"Castellanos, Nick",592206,2023,31,671,170,37,29,185,36,27.6,5.4,"106","11","79",".255",".449",".335",".322","72.4",10.3,35.4
"France, Ty",664034,2023,28,665,147,32,12,117,43,17.6,6.5,"58","1","79",".264",".421",".315",".340","71.8",6.8,21.9
"Bader, Harrison",664056,2023,29,344,74,12,7,59,17,17.2,4.9,"40","20","44",".230",".378",".271",".288","70.8",5.3,24.6
"Anderson, Tim",641313,2023,30,524,121,18,1,122,26,23.3,5,"25","13","52",".250",".337",".260",".280","68.8",2.9,25.3
"Moreno, Gabriel",672515,2023,23,380,97,19,7,75,29,19.7,7.6,"50","6","33",".264",".391",".325",".316","70.3",4.8,19.7
"Kim, Ha-Seong",673490,2023,27,626,140,23,17,124,75,19.8,12,"60","38","84",".242",".362",".330",".313","67.7",4.2,17.8
"Farmer, Kyle",571657,2023,32,369,86,14,11,86,23,23.3,6.2,"46","2","49",".249",".409",".316",".314","66.6",6.7,23.2
